               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.017589,            0.005309,          0.00093146,             0.89965,              0.9728,             0.97435,             0.83228,            0.014268,           0.0049999,          0.00071122,           0.0033321,           0.0033321,           0.0033321
                  68,            0.017136,           0.0050329,          0.00092198,             0.89917,             0.98291,             0.97593,             0.83072,            0.014611,           0.0049479,          0.00064771,           0.0032093,           0.0032093,           0.0032093
                  69,            0.017017,           0.0054763,          0.00090453,             0.89484,             0.97735,             0.97441,             0.82906,            0.014232,           0.0050844,           0.0006603,           0.0030888,           0.0030888,           0.0030888
                  70,             0.01679,           0.0051626,           0.0009258,             0.89987,             0.98011,             0.97733,             0.82877,            0.014445,           0.0049298,          0.00066953,           0.0029706,           0.0029706,           0.0029706
                  71,            0.015999,           0.0052668,          0.00081051,             0.89787,             0.97424,             0.97725,             0.84101,            0.014297,           0.0050143,          0.00059717,            0.002855,            0.002855,            0.002855
                  72,            0.015872,           0.0052087,          0.00083395,             0.90713,             0.96123,             0.97468,             0.82949,            0.014573,           0.0050729,          0.00055082,           0.0027419,           0.0027419,           0.0027419
                  73,            0.016211,           0.0055072,          0.00085821,             0.88453,              0.9782,             0.97274,             0.83572,            0.013777,           0.0052402,          0.00055688,           0.0026316,           0.0026316,           0.0026316
                  74,            0.015096,           0.0048563,          0.00078195,             0.89279,             0.98208,             0.97727,              0.8384,            0.013726,           0.0049573,           0.0005592,           0.0025241,           0.0025241,           0.0025241
                  75,            0.015639,           0.0049015,           0.0007654,               0.949,             0.91615,             0.97571,             0.84243,            0.013874,           0.0049782,          0.00050393,           0.0024195,           0.0024195,           0.0024195
                  76,            0.015791,           0.0048635,          0.00069312,             0.90949,              0.9497,             0.97432,             0.84173,            0.013578,            0.004977,          0.00050832,            0.002318,            0.002318,            0.002318
